treat,rep,bact_clone,phage,infect
mix_add,5,11,PNM,0
mix_add,5,12,PNM,0
mix_add,5,13,PNM,0
mix_add,5,14,PNM,0
mix_add,5,15,PNM,0
mix_add,5,16,PNM,0
mix_add,5,17,PNM,0
mix_add,5,18,PNM,0
mix_add,5,19,PNM,0
mix_add,5,20,PNM,0
mix_add,5,21,PNM,0
mix_add,5,22,PNM,0
mix_add,5,23,PNM,0
mix_add,5,24,PNM,0
mix_add,6,1,14_1,0
mix_add,6,2,14_1,0
mix_add,6,3,14_1,1
mix_add,6,4,14_1,0
mix_add,6,5,14_1,0
mix_add,6,6,14_1,0
mix_add,6,7,14_1,0
mix_add,6,8,14_1,0
mix_add,6,9,14_1,0
mix_add,6,10,14_1,0
mix_add,6,11,14_1,0
mix_add,6,12,14_1,0
mix_add,6,13,14_1,0
mix_add,6,14,14_1,1
mix_add,6,15,14_1,0
mix_add,6,16,14_1,0
mix_add,6,17,14_1,1
mix_add,6,18,14_1,0
mix_add,6,19,14_1,0
mix_add,6,20,14_1,1
mix_add,6,21,14_1,0
mix_add,6,22,14_1,0
mix_add,6,23,14_1,0
mix_add,6,24,14_1,0
mix_add,6,1,PNM,0
mix_add,6,2,PNM,0
mix_add,6,3,PNM,1
mix_add,6,4,PNM,0
mix_add,6,5,PNM,0
mix_add,6,6,PNM,0
mix_add,6,7,PNM,0
mix_add,6,8,PNM,0
mix_add,6,9,PNM,0
mix_add,6,10,PNM,0
mix_add,6,11,PNM,0
mix_add,6,12,PNM,0
mix_add,6,13,PNM,0
mix_add,6,14,PNM,1
mix_add,6,15,PNM,0
mix_add,6,16,PNM,0
mix_add,6,17,PNM,1
mix_add,6,18,PNM,0
mix_add,6,19,PNM,0
mix_add,6,20,PNM,1
mix_add,6,21,PNM,0
mix_add,6,22,PNM,0
mix_add,6,23,PNM,0
mix_add,6,24,PNM,0
